W1	W1
CMT_d1_GR_F_a80	CMT_GR_before
CMT_d1_LJ_M_a61	CMT_LJ_before
CMT_d1_LJ_M_a62	CMT_LJ_before
CMT_d1_LJ_M_a63	CMT_LJ_before
CMT_d1_LJ_M_a64	CMT_LJ_before
CMT_d1_LJ_M_a65	CMT_LJ_before
CMT_d1_LJ_M_a66	CMT_LJ_before
CMT_d1_LJ_M_a67	CMT_LJ_before
CMT_d1_LJ_M_a68	CMT_LJ_before
CMT_d1_LJ_M_a69	CMT_LJ_before
CMT_d1_LJ_M_a70	CMT_LJ_before
CMT_d1_LJ_F_a71	CMT_LJ_before
CMT_d1_LJ_F_a72	CMT_LJ_before
CMT_d1_LJ_F_a73	CMT_LJ_before
CMT_d1_LJ_F_a74	CMT_LJ_before
CMT_d1_LJ_F_a75	CMT_LJ_before
CMT_d1_LJ_F_a76	CMT_LJ_before
CMT_d1_LJ_F_a77	CMT_LJ_before
CMT_d1_LJ_F_a78	CMT_LJ_before
CMT_d1_LJ_F_a79	CMT_LJ_before
CMT_d1_LJ_F_a80	CMT_LJ_before
CMT_d3_GR_M_a61	CMT_GR_during
CMT_d3_GR_M_a62	CMT_GR_during
CMT_d3_GR_M_a63	CMT_GR_during
CMT_d3_GR_M_a64	CMT_GR_during
CMT_d3_GR_M_a65	CMT_GR_during
CMT_d3_GR_M_a66	CMT_GR_during
CMT_d3_GR_M_a67	CMT_GR_during
CMT_d3_GR_M_a68	CMT_GR_during
CMT_d3_GR_M_a69	CMT_GR_during
CMT_d3_GR_M_a70	CMT_GR_during
CMT_d3_GR_F_a71	CMT_GR_during
CMT_d3_GR_F_a72	CMT_GR_during
CMT_d3_GR_F_a73	CMT_GR_during
CMT_d3_GR_F_a74	CMT_GR_during
CMT_d3_GR_F_a75	CMT_GR_during
CMT_d3_GR_F_a76	CMT_GR_during
CMT_d3_GR_F_a77	CMT_GR_during
CMT_d3_GR_F_a78	CMT_GR_during
CMT_d3_GR_F_a79	CMT_GR_during
CMT_d3_GR_F_a80	CMT_GR_during
CMT_d3_LJ_M_a61	CMT_LJ_during
CMT_d3_LJ_M_a62	CMT_LJ_during
CMT_d3_LJ_M_a63	CMT_LJ_during
CMT_d3_LJ_M_a64	CMT_LJ_during
CMT_d3_LJ_M_a65	CMT_LJ_during
CMT_d3_LJ_M_a66	CMT_LJ_during
CMT_d3_LJ_M_a67	CMT_LJ_during
CMT_d3_LJ_M_a68	CMT_LJ_during
CMT_d3_LJ_M_a69	CMT_LJ_during
CMT_d3_LJ_M_a70	CMT_LJ_during
CMT_d3_LJ_F_a71	CMT_LJ_during
CMT_d3_LJ_F_a72	CMT_LJ_during
CMT_d3_LJ_F_a73	CMT_LJ_during
CMT_d3_LJ_F_a74	CMT_LJ_during
CMT_d3_LJ_F_a75	CMT_LJ_during
CMT_d3_LJ_F_a76	CMT_LJ_during
CMT_d3_LJ_F_a77	CMT_LJ_during
CMT_d3_LJ_F_a78	CMT_LJ_during
CMT_d3_LJ_F_a79	CMT_LJ_during
CMT_d3_LJ_F_a80	CMT_LJ_during
CMT_d5_GR_M_a61	CMT_GR_during
CMT_d5_GR_M_a62	CMT_GR_during
CMT_d5_GR_M_a63	CMT_GR_during
CMT_d5_GR_M_a64	CMT_GR_during
CMT_d5_GR_M_a65	CMT_GR_during
CMT_d5_GR_M_a66	CMT_GR_during
CMT_d5_GR_M_a67	CMT_GR_during
CMT_d5_GR_M_a68	CMT_GR_during
CMT_d5_GR_M_a69	CMT_GR_during
CMT_d5_GR_M_a70	CMT_GR_during
CMT_d5_GR_F_a71	CMT_GR_during
CMT_d5_GR_F_a72	CMT_GR_during
CMT_d5_GR_F_a73	CMT_GR_during
CMT_d5_GR_F_a74	CMT_GR_during
CMT_d5_GR_F_a75	CMT_GR_during
CMT_d5_GR_F_a76	CMT_GR_during
CMT_d5_GR_F_a77	CMT_GR_during
CMT_d5_GR_F_a78	CMT_GR_during
CMT_d5_GR_F_a79	CMT_GR_during
CMT_d5_GR_F_a80	CMT_GR_during
CMT_d5_LJ_M_a61	CMT_LJ_during
CMT_d5_LJ_M_a62	CMT_LJ_during
CMT_d5_LJ_M_a63	CMT_LJ_during
CMT_d5_LJ_M_a64	CMT_LJ_during
CMT_d5_LJ_M_a65	CMT_LJ_during
CMT_d5_LJ_M_a66	CMT_LJ_during
CMT_d5_LJ_M_a67	CMT_LJ_during
CMT_d5_LJ_M_a68	CMT_LJ_during
CMT_d5_LJ_M_a69	CMT_LJ_during
CMT_d5_LJ_M_a70	CMT_LJ_during
CMT_d5_LJ_F_a71	CMT_LJ_during
CMT_d5_LJ_F_a72	CMT_LJ_during
CMT_d5_LJ_F_a73	CMT_LJ_during
CMT_d5_LJ_F_a74	CMT_LJ_during
CMT_d5_LJ_F_a75	CMT_LJ_during
CMT_d5_LJ_F_a76	CMT_LJ_during
CMT_d5_LJ_F_a77	CMT_LJ_during
CMT_d5_LJ_F_a78	CMT_LJ_during
CMT_d5_LJ_F_a79	CMT_LJ_during
CMT_d5_LJ_F_a80	CMT_LJ_during
CMT_d8_GR_M_a61	CMT_GR_during
CMT_d8_GR_M_a62	CMT_GR_during
CMT_d8_GR_M_a63	CMT_GR_during
CMT_d8_GR_M_a64	CMT_GR_during
CMT_d8_GR_M_a65	CMT_GR_during
CMT_d8_GR_M_a66	CMT_GR_during
CMT_d8_GR_M_a67	CMT_GR_during
CMT_d8_GR_M_a68	CMT_GR_during
CMT_d8_GR_M_a69	CMT_GR_during
CMT_d8_GR_M_a70	CMT_GR_during
CMT_d8_GR_F_a71	CMT_GR_during
CMT_d8_GR_F_a72	CMT_GR_during
CMT_d8_GR_F_a73	CMT_GR_during
CMT_d8_GR_F_a74	CMT_GR_during
CMT_d8_GR_F_a75	CMT_GR_during
CMT_d8_GR_F_a76	CMT_GR_during
CMT_d8_GR_F_a77	CMT_GR_during
CMT_d8_GR_F_a78	CMT_GR_during
CMT_d8_GR_F_a79	CMT_GR_during
CMT_d8_GR_F_a80	CMT_GR_during
CMT_d8_LJ_M_a61	CMT_LJ_during
CMT_d8_LJ_M_a62	CMT_LJ_during
CMT_d8_LJ_M_a63	CMT_LJ_during
CMT_d8_LJ_M_a64	CMT_LJ_during
CMT_d8_LJ_M_a65	CMT_LJ_during
CMT_d8_LJ_M_a66	CMT_LJ_during
CMT_d8_LJ_M_a67	CMT_LJ_during
CMT_d8_LJ_M_a68	CMT_LJ_during
CMT_d8_LJ_M_a69	CMT_LJ_during
CMT_d8_LJ_M_a70	CMT_LJ_during
CMT_d8_LJ_F_a71	CMT_LJ_during
CMT_d8_LJ_F_a72	CMT_LJ_during
CMT_d8_LJ_F_a73	CMT_LJ_during
CMT_d8_LJ_F_a74	CMT_LJ_during
CMT_d8_LJ_F_a75	CMT_LJ_during
CMT_d8_LJ_F_a76	CMT_LJ_during
CMT_d8_LJ_F_a77	CMT_LJ_during
CMT_d8_LJ_F_a78	CMT_LJ_during
CMT_d8_LJ_F_a79	CMT_LJ_during
CMT_d8_LJ_F_a80	CMT_LJ_during
CMT_d10_GR_M_a61	CMT_GR_during
CMT_d10_GR_M_a62	CMT_GR_during
CMT_d10_GR_M_a63	CMT_GR_during
CMT_d10_GR_M_a64	CMT_GR_during
CMT_d10_GR_M_a65	CMT_GR_during
CMT_d10_GR_M_a66	CMT_GR_during
CMT_d10_GR_M_a67	CMT_GR_during
CMT_d10_GR_M_a68	CMT_GR_during
CMT_d10_GR_M_a69	CMT_GR_during
CMT_d10_GR_M_a70	CMT_GR_during
CMT_d10_GR_F_a71	CMT_GR_during
CMT_d10_GR_F_a72	CMT_GR_during
CMT_d10_GR_F_a73	CMT_GR_during
CMT_d10_GR_F_a74	CMT_GR_during
CMT_d10_GR_F_a75	CMT_GR_during
CMT_d10_GR_F_a76	CMT_GR_during
CMT_d10_GR_F_a77	CMT_GR_during
CMT_d10_GR_F_a78	CMT_GR_during
CMT_d10_GR_F_a79	CMT_GR_during
CMT_d10_GR_F_a80	CMT_GR_during
CMT_d10_LJ_M_a61	CMT_LJ_during
CMT_d10_LJ_M_a62	CMT_LJ_during
CMT_d10_LJ_M_a63	CMT_LJ_during
CMT_d10_LJ_M_a64	CMT_LJ_during
CMT_d10_LJ_M_a65	CMT_LJ_during
CMT_d10_LJ_M_a66	CMT_LJ_during
CMT_d10_LJ_M_a67	CMT_LJ_during
CMT_d10_LJ_M_a68	CMT_LJ_during
CMT_d10_LJ_M_a69	CMT_LJ_during
CMT_d10_LJ_M_a70	CMT_LJ_during
CMT_d10_LJ_F_a71	CMT_LJ_during
CMT_d10_LJ_F_a72	CMT_LJ_during
CMT_d10_LJ_F_a73	CMT_LJ_during
CMT_d10_LJ_F_a74	CMT_LJ_during
CMT_d10_LJ_F_a75	CMT_LJ_during
CMT_d10_LJ_F_a76	CMT_LJ_during
CMT_d10_LJ_F_a77	CMT_LJ_during
CMT_d10_LJ_F_a78	CMT_LJ_during
CMT_d10_LJ_F_a79	CMT_LJ_during
CMT_d10_LJ_F_a80	CMT_LJ_during
ABX3CMT_d30_GR_M_a41	ABX3CMT_GR_after
ABX3CMT_d30_GR_M_a42	ABX3CMT_GR_after
ABX3CMT_d30_GR_M_a43	ABX3CMT_GR_after
ABX3CMT_d30_GR_M_a44	ABX3CMT_GR_after
ABX3CMT_d30_GR_M_a45	ABX3CMT_GR_after
ABX3CMT_d30_GR_M_a46	ABX3CMT_GR_after
ABX3CMT_d30_GR_M_a47	ABX3CMT_GR_after
ABX3CMT_d30_GR_M_a48	ABX3CMT_GR_after
ABX3CMT_d30_GR_M_a49	ABX3CMT_GR_after
ABX3CMT_d30_GR_M_a50	ABX3CMT_GR_after
ABX3CMT_d30_GR_F_a51	ABX3CMT_GR_after
ABX3CMT_d30_GR_F_a52	ABX3CMT_GR_after
ABX3CMT_d30_GR_F_a53	ABX3CMT_GR_after
ABX3CMT_d30_GR_F_a54	ABX3CMT_GR_after
ABX3CMT_d30_GR_F_a55	ABX3CMT_GR_after
ABX3CMT_d30_GR_F_a56	ABX3CMT_GR_after
ABX3CMT_d30_GR_F_a57	ABX3CMT_GR_after
ABX3CMT_d30_GR_F_a58	ABX3CMT_GR_after
ABX3CMT_d30_GR_F_a59	ABX3CMT_GR_after
ABX3CMT_d30_GR_F_a60	ABX3CMT_GR_after
ABX3CMT_d30_LJ_M_a41	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_M_a42	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_M_a43	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_M_a44	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_M_a45	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_M_a46	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_M_a47	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_M_a48	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_M_a49	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_M_a50	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_F_a51	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_F_a52	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_F_a53	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_F_a54	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_F_a55	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_F_a56	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_F_a57	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_F_a58	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_F_a59	ABX3CMT_LJ_after
ABX3CMT_d30_LJ_F_a60	ABX3CMT_LJ_after
ABX3CMT_d60_GR_M_a41	ABX3CMT_GR_after
ABX3CMT_d60_GR_M_a42	ABX3CMT_GR_after
ABX3CMT_d60_GR_M_a43	ABX3CMT_GR_after
ABX3CMT_d60_GR_M_a44	ABX3CMT_GR_after
ABX3CMT_d60_GR_M_a45	ABX3CMT_GR_after
ABX3CMT_d60_GR_M_a46	ABX3CMT_GR_after
ABX3CMT_d60_GR_M_a47	ABX3CMT_GR_after
ABX3CMT_d60_GR_M_a48	ABX3CMT_GR_after
ABX3CMT_d60_GR_M_a49	ABX3CMT_GR_after
ABX3CMT_d60_GR_M_a50	ABX3CMT_GR_after
ABX3CMT_d60_GR_F_a51	ABX3CMT_GR_after
ABX3CMT_d60_GR_F_a52	ABX3CMT_GR_after
ABX3CMT_d60_GR_F_a53	ABX3CMT_GR_after
ABX3CMT_d60_GR_F_a54	ABX3CMT_GR_after
ABX3CMT_d60_GR_F_a55	ABX3CMT_GR_after
ABX3CMT_d60_GR_F_a56	ABX3CMT_GR_after
ABX3CMT_d60_GR_F_a57	ABX3CMT_GR_after
ABX3CMT_d60_GR_F_a58	ABX3CMT_GR_after
ABX3CMT_d60_GR_F_a59	ABX3CMT_GR_after
ABX3CMT_d60_GR_F_a60	ABX3CMT_GR_after
ABX3CMT_d60_LJ_M_a41	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_M_a42	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_M_a43	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_M_a44	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_M_a45	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_M_a46	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_M_a47	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_M_a48	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_M_a49	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_M_a50	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_F_a51	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_F_a52	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_F_a53	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_F_a54	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_F_a55	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_F_a56	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_F_a57	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_F_a58	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_F_a59	ABX3CMT_LJ_after
ABX3CMT_d60_LJ_F_a60	ABX3CMT_LJ_after
ABX3CMT_d-2_GR_M_a41	ABX3CMT_GR_before
ABX3CMT_d-2_GR_M_a42	ABX3CMT_GR_before
ABX3CMT_d-2_GR_M_a43	ABX3CMT_GR_before
ABX3CMT_d-2_GR_M_a44	ABX3CMT_GR_before
ABX3CMT_d-2_GR_M_a45	ABX3CMT_GR_before
ABX3CMT_d-2_GR_M_a46	ABX3CMT_GR_before
ABX3CMT_d-2_GR_M_a47	ABX3CMT_GR_before
ABX3CMT_d-2_GR_M_a48	ABX3CMT_GR_before
ABX3CMT_d-2_GR_M_a49	ABX3CMT_GR_before
ABX3CMT_d-2_GR_M_a50	ABX3CMT_GR_before
ABX3CMT_d-2_GR_F_a51	ABX3CMT_GR_before
ABX3CMT_d-2_GR_F_a52	ABX3CMT_GR_before
ABX3CMT_d-2_GR_F_a53	ABX3CMT_GR_before
ABX3CMT_d-2_GR_F_a54	ABX3CMT_GR_before
ABX3CMT_d-2_GR_F_a55	ABX3CMT_GR_before
ABX3CMT_d-2_GR_F_a56	ABX3CMT_GR_before
ABX3CMT_d-2_GR_F_a57	ABX3CMT_GR_before
ABX3CMT_d-2_GR_F_a58	ABX3CMT_GR_before
ABX3CMT_d-2_GR_F_a59	ABX3CMT_GR_before
ABX3CMT_d-2_GR_F_a60	ABX3CMT_GR_before
ABX3CMT_d-2_LJ_M_a41	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_M_a42	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_M_a43	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_M_a44	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_M_a45	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_M_a46	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_M_a47	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_M_a48	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_M_a49	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_M_a50	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_F_a51	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_F_a52	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_F_a53	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_F_a54	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_F_a55	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_F_a56	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_F_a57	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_F_a58	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_F_a59	ABX3CMT_LJ_before
ABX3CMT_d-2_LJ_F_a60	ABX3CMT_LJ_before
ABX3CMT_d1_GR_M_a41	ABX3CMT_GR_before
ABX3CMT_d1_GR_M_a42	ABX3CMT_GR_before
ABX3CMT_d1_GR_M_a43	ABX3CMT_GR_before
ABX3CMT_d1_GR_M_a44	ABX3CMT_GR_before
ABX3CMT_d1_GR_M_a45	ABX3CMT_GR_before
ABX3CMT_d1_GR_M_a46	ABX3CMT_GR_before
ABX3CMT_d1_GR_M_a47	ABX3CMT_GR_before
ABX3CMT_d1_GR_M_a48	ABX3CMT_GR_before
ABX3CMT_d1_GR_M_a49	ABX3CMT_GR_before
ABX3CMT_d1_GR_M_a50	ABX3CMT_GR_before
ABX3CMT_d1_GR_F_a51	ABX3CMT_GR_before
ABX3CMT_d1_GR_F_a52	ABX3CMT_GR_before
ABX3CMT_d1_GR_F_a53	ABX3CMT_GR_before
ABX3CMT_d1_GR_F_a54	ABX3CMT_GR_before
ABX3CMT_d1_GR_F_a55	ABX3CMT_GR_before
ABX3CMT_d1_GR_F_a56	ABX3CMT_GR_before
ABX3CMT_d1_GR_F_a57	ABX3CMT_GR_before
ABX3CMT_d1_GR_F_a58	ABX3CMT_GR_before
ABX3CMT_d1_GR_F_a59	ABX3CMT_GR_before
ABX3CMT_d1_GR_F_a60	ABX3CMT_GR_before
ABX3CMT_d1_LJ_M_a41	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_M_a42	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_M_a43	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_M_a44	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_M_a45	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_M_a46	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_M_a47	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_M_a48	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_M_a49	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_M_a50	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_F_a51	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_F_a52	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_F_a53	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_F_a54	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_F_a55	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_F_a56	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_F_a57	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_F_a58	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_F_a59	ABX3CMT_LJ_before
ABX3CMT_d1_LJ_F_a60	ABX3CMT_LJ_before
ABX3CMT_d3_GR_M_a41	ABX3CMT_GR_during
ABX3CMT_d3_GR_M_a42	ABX3CMT_GR_during
ABX3CMT_d3_GR_M_a43	ABX3CMT_GR_during
ABX3CMT_d3_GR_M_a44	ABX3CMT_GR_during
ABX3CMT_d3_GR_M_a45	ABX3CMT_GR_during
ABX3CMT_d3_GR_M_a46	ABX3CMT_GR_during
ABX3CMT_d3_GR_M_a47	ABX3CMT_GR_during
ABX3CMT_d3_GR_M_a48	ABX3CMT_GR_during
ABX3CMT_d3_GR_M_a49	ABX3CMT_GR_during
ABX3CMT_d3_GR_M_a50	ABX3CMT_GR_during
ABX3CMT_d3_GR_F_a51	ABX3CMT_GR_during
ABX3CMT_d3_GR_F_a52	ABX3CMT_GR_during
ABX3CMT_d3_GR_F_a53	ABX3CMT_GR_during
ABX3CMT_d3_GR_F_a54	ABX3CMT_GR_during
ABX3CMT_d3_GR_F_a55	ABX3CMT_GR_during
ABX3CMT_d3_GR_F_a56	ABX3CMT_GR_during
ABX3CMT_d3_GR_F_a57	ABX3CMT_GR_during
ABX3CMT_d3_GR_F_a58	ABX3CMT_GR_during
ABX3CMT_d3_GR_F_a59	ABX3CMT_GR_during
ABX3CMT_d3_GR_F_a60	ABX3CMT_GR_during
ABX3CMT_d3_LJ_M_a41	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_M_a42	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_M_a43	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_M_a44	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_M_a45	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_M_a46	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_M_a47	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_M_a48	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_M_a49	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_M_a50	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_F_a51	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_F_a52	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_F_a53	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_F_a54	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_F_a55	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_F_a56	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_F_a57	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_F_a58	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_F_a59	ABX3CMT_LJ_during
ABX3CMT_d3_LJ_F_a60	ABX3CMT_LJ_during
ABX3CMT_d5_GR_M_a41	ABX3CMT_GR_during
ABX3CMT_d5_GR_M_a42	ABX3CMT_GR_during
ABX3CMT_d5_GR_M_a43	ABX3CMT_GR_during
ABX3CMT_d5_GR_M_a44	ABX3CMT_GR_during
ABX3CMT_d5_GR_M_a45	ABX3CMT_GR_during
ABX3CMT_d5_GR_M_a46	ABX3CMT_GR_during
ABX3CMT_d5_GR_M_a47	ABX3CMT_GR_during
ABX3CMT_d5_GR_M_a48	ABX3CMT_GR_during
ABX3CMT_d5_GR_M_a49	ABX3CMT_GR_during
ABX3CMT_d5_GR_M_a50	ABX3CMT_GR_during
ABX3CMT_d5_GR_F_a51	ABX3CMT_GR_during
ABX3CMT_d5_GR_F_a52	ABX3CMT_GR_during
ABX3CMT_d5_GR_F_a53	ABX3CMT_GR_during
ABX3CMT_d5_GR_F_a54	ABX3CMT_GR_during
ABX3CMT_d5_GR_F_a55	ABX3CMT_GR_during
ABX3CMT_d5_GR_F_a56	ABX3CMT_GR_during
ABX3CMT_d5_GR_F_a57	ABX3CMT_GR_during
ABX3CMT_d5_GR_F_a58	ABX3CMT_GR_during
ABX3CMT_d5_GR_F_a59	ABX3CMT_GR_during
ABX3CMT_d5_GR_F_a60	ABX3CMT_GR_during
ABX3CMT_d5_LJ_M_a41	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_M_a42	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_M_a43	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_M_a44	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_M_a45	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_M_a46	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_M_a47	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_M_a48	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_M_a49	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_M_a50	ABX3CMT_LJ_during
