W1	W1
ABX3CMT_d5_LJ_F_a51	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_F_a52	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_F_a53	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_F_a54	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_F_a55	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_F_a56	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_F_a57	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_F_a58	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_F_a59	ABX3CMT_LJ_during
ABX3CMT_d5_LJ_F_a60	ABX3CMT_LJ_during
ABX3CMT_d8_GR_M_a41	ABX3CMT_GR_during
ABX3CMT_d8_GR_M_a42	ABX3CMT_GR_during
ABX3CMT_d8_GR_M_a43	ABX3CMT_GR_during
ABX3CMT_d8_GR_M_a44	ABX3CMT_GR_during
ABX3CMT_d8_GR_M_a45	ABX3CMT_GR_during
ABX3CMT_d8_GR_M_a46	ABX3CMT_GR_during
ABX3CMT_d8_GR_M_a47	ABX3CMT_GR_during
ABX3CMT_d8_GR_M_a48	ABX3CMT_GR_during
ABX3CMT_d8_GR_M_a49	ABX3CMT_GR_during
ABX3CMT_d8_GR_M_a50	ABX3CMT_GR_during
ABX3CMT_d8_GR_F_a51	ABX3CMT_GR_during
ABX3CMT_d8_GR_F_a52	ABX3CMT_GR_during
ABX3CMT_d8_GR_F_a53	ABX3CMT_GR_during
ABX3CMT_d8_GR_F_a54	ABX3CMT_GR_during
ABX3CMT_d8_GR_F_a55	ABX3CMT_GR_during
ABX3CMT_d8_GR_F_a56	ABX3CMT_GR_during
ABX3CMT_d8_GR_F_a57	ABX3CMT_GR_during
ABX3CMT_d8_GR_F_a58	ABX3CMT_GR_during
ABX3CMT_d8_GR_F_a59	ABX3CMT_GR_during
ABX3CMT_d8_GR_F_a60	ABX3CMT_GR_during
ABX3CMT_d8_LJ_M_a41	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_M_a42	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_M_a43	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_M_a44	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_M_a45	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_M_a46	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_M_a47	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_M_a48	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_M_a49	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_M_a50	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_F_a51	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_F_a52	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_F_a53	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_F_a54	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_F_a55	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_F_a56	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_F_a57	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_F_a58	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_F_a59	ABX3CMT_LJ_during
ABX3CMT_d8_LJ_F_a60	ABX3CMT_LJ_during
ABX3CMT_d10_GR_M_a41	ABX3CMT_GR_during
ABX3CMT_d10_GR_M_a42	ABX3CMT_GR_during
ABX3CMT_d10_GR_M_a43	ABX3CMT_GR_during
ABX3CMT_d10_GR_M_a44	ABX3CMT_GR_during
ABX3CMT_d10_GR_M_a45	ABX3CMT_GR_during
ABX3CMT_d10_GR_M_a46	ABX3CMT_GR_during
ABX3CMT_d10_GR_M_a47	ABX3CMT_GR_during
ABX3CMT_d10_GR_M_a48	ABX3CMT_GR_during
ABX3CMT_d10_GR_M_a49	ABX3CMT_GR_during
ABX3CMT_d10_GR_M_a50	ABX3CMT_GR_during
ABX3CMT_d10_GR_F_a51	ABX3CMT_GR_during
ABX3CMT_d10_GR_F_a52	ABX3CMT_GR_during
ABX3CMT_d10_GR_F_a53	ABX3CMT_GR_during
ABX3CMT_d10_GR_F_a54	ABX3CMT_GR_during
ABX3CMT_d10_GR_F_a55	ABX3CMT_GR_during
ABX3CMT_d10_GR_F_a56	ABX3CMT_GR_during
ABX3CMT_d10_GR_F_a57	ABX3CMT_GR_during
ABX3CMT_d10_GR_F_a58	ABX3CMT_GR_during
ABX3CMT_d10_GR_F_a59	ABX3CMT_GR_during
ABX3CMT_d10_GR_F_a60	ABX3CMT_GR_during
ABX3CMT_d10_LJ_M_a41	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_M_a42	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_M_a43	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_M_a44	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_M_a45	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_M_a46	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_M_a47	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_M_a48	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_M_a49	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_M_a50	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_F_a51	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_F_a52	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_F_a53	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_F_a54	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_F_a55	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_F_a56	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_F_a57	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_F_a58	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_F_a59	ABX3CMT_LJ_during
ABX3CMT_d10_LJ_F_a60	ABX3CMT_LJ_during
ABX10_d30_GR_M_a21	ABX10_GR_after
ABX10_d30_GR_M_a22	ABX10_GR_after
ABX10_d30_GR_M_a23	ABX10_GR_after
ABX10_d30_GR_M_a24	ABX10_GR_after
ABX10_d30_GR_M_a25	ABX10_GR_after
ABX10_d30_GR_M_a26	ABX10_GR_after
ABX10_d30_GR_M_a27	ABX10_GR_after
ABX10_d30_GR_M_a28	ABX10_GR_after
ABX10_d30_GR_M_a29	ABX10_GR_after
ABX10_d30_GR_M_a30	ABX10_GR_after
ABX10_d30_GR_F_a31	ABX10_GR_after
ABX10_d30_GR_F_a32	ABX10_GR_after
ABX10_d30_GR_F_a33	ABX10_GR_after
ABX10_d30_GR_F_a34	ABX10_GR_after
ABX10_d30_GR_F_a35	ABX10_GR_after
ABX10_d30_GR_F_a36	ABX10_GR_after
ABX10_d30_GR_F_a37	ABX10_GR_after
ABX10_d30_GR_F_a38	ABX10_GR_after
ABX10_d30_GR_F_a39	ABX10_GR_after
ABX10_d30_GR_F_a40	ABX10_GR_after
ABX10_d30_LJ_M_a21	ABX10_LJ_after
ABX10_d30_LJ_M_a22	ABX10_LJ_after
ABX10_d30_LJ_M_a23	ABX10_LJ_after
ABX10_d30_LJ_M_a24	ABX10_LJ_after
ABX10_d30_LJ_M_a25	ABX10_LJ_after
ABX10_d30_LJ_M_a26	ABX10_LJ_after
ABX10_d30_LJ_M_a27	ABX10_LJ_after
ABX10_d30_LJ_M_a28	ABX10_LJ_after
ABX10_d30_LJ_M_a29	ABX10_LJ_after
ABX10_d30_LJ_M_a30	ABX10_LJ_after
ABX10_d30_LJ_F_a31	ABX10_LJ_after
ABX10_d30_LJ_F_a32	ABX10_LJ_after
ABX10_d30_LJ_F_a33	ABX10_LJ_after
ABX10_d30_LJ_F_a34	ABX10_LJ_after
ABX10_d30_LJ_F_a35	ABX10_LJ_after
ABX10_d30_LJ_F_a36	ABX10_LJ_after
ABX10_d30_LJ_F_a37	ABX10_LJ_after
ABX10_d30_LJ_F_a38	ABX10_LJ_after
ABX10_d30_LJ_F_a39	ABX10_LJ_after
ABX10_d30_LJ_F_a40	ABX10_LJ_after
ABX10_d60_GR_M_a21	ABX10_GR_after
ABX10_d60_GR_M_a22	ABX10_GR_after
ABX10_d60_GR_M_a23	ABX10_GR_after
ABX10_d60_GR_M_a24	ABX10_GR_after
ABX10_d60_GR_M_a25	ABX10_GR_after
ABX10_d60_GR_M_a26	ABX10_GR_after
ABX10_d60_GR_M_a27	ABX10_GR_after
ABX10_d60_GR_M_a28	ABX10_GR_after
ABX10_d60_GR_M_a29	ABX10_GR_after
ABX10_d60_GR_M_a30	ABX10_GR_after
ABX10_d60_GR_F_a31	ABX10_GR_after
ABX10_d60_GR_F_a32	ABX10_GR_after
ABX10_d60_GR_F_a33	ABX10_GR_after
ABX10_d60_GR_F_a34	ABX10_GR_after
ABX10_d60_GR_F_a35	ABX10_GR_after
ABX10_d60_GR_F_a36	ABX10_GR_after
ABX10_d60_GR_F_a37	ABX10_GR_after
ABX10_d60_GR_F_a38	ABX10_GR_after
ABX10_d60_GR_F_a39	ABX10_GR_after
ABX10_d60_GR_F_a40	ABX10_GR_after
ABX10_d60_LJ_M_a21	ABX10_LJ_after
ABX10_d60_LJ_M_a22	ABX10_LJ_after
ABX10_d60_LJ_M_a23	ABX10_LJ_after
ABX10_d60_LJ_M_a24	ABX10_LJ_after
ABX10_d60_LJ_M_a25	ABX10_LJ_after
ABX10_d60_LJ_M_a26	ABX10_LJ_after
ABX10_d60_LJ_M_a27	ABX10_LJ_after
ABX10_d60_LJ_M_a29	ABX10_LJ_after
ABX10_d60_LJ_M_a30	ABX10_LJ_after
ABX10_d60_LJ_F_a31	ABX10_LJ_after
ABX10_d60_LJ_F_a33	ABX10_LJ_after
ABX10_d60_LJ_F_a34	ABX10_LJ_after
ABX10_d60_LJ_F_a35	ABX10_LJ_after
ABX10_d60_LJ_F_a36	ABX10_LJ_after
ABX10_d60_LJ_F_a37	ABX10_LJ_after
ABX10_d60_LJ_F_a39	ABX10_LJ_after
ABX10_d60_LJ_F_a40	ABX10_LJ_after
ABX10_d-2_GR_M_a21	ABX10_GR_before
ABX10_d-2_GR_M_a22	ABX10_GR_before
ABX10_d-2_GR_M_a23	ABX10_GR_before
ABX10_d-2_GR_M_a24	ABX10_GR_before
ABX10_d-2_GR_M_a25	ABX10_GR_before
ABX10_d-2_GR_M_a26	ABX10_GR_before
ABX10_d-2_GR_M_a27	ABX10_GR_before
ABX10_d-2_GR_M_a28	ABX10_GR_before
ABX10_d-2_GR_M_a29	ABX10_GR_before
ABX10_d-2_GR_M_a30	ABX10_GR_before
ABX10_d-2_GR_F_a31	ABX10_GR_before
ABX10_d-2_GR_F_a32	ABX10_GR_before
ABX10_d-2_GR_F_a33	ABX10_GR_before
ABX10_d-2_GR_F_a34	ABX10_GR_before
ABX10_d-2_GR_F_a35	ABX10_GR_before
ABX10_d-2_GR_F_a36	ABX10_GR_before
ABX10_d-2_GR_F_a37	ABX10_GR_before
ABX10_d-2_GR_F_a38	ABX10_GR_before
ABX10_d-2_GR_F_a39	ABX10_GR_before
ABX10_d-2_GR_F_a40	ABX10_GR_before
ABX10_d-2_LJ_M_a21	ABX10_LJ_before
ABX10_d-2_LJ_M_a22	ABX10_LJ_before
ABX10_d-2_LJ_M_a23	ABX10_LJ_before
ABX10_d-2_LJ_M_a24	ABX10_LJ_before
ABX10_d-2_LJ_M_a25	ABX10_LJ_before
ABX10_d-2_LJ_M_a26	ABX10_LJ_before
ABX10_d-2_LJ_M_a27	ABX10_LJ_before
ABX10_d-2_LJ_M_a28	ABX10_LJ_before
ABX10_d-2_LJ_M_a29	ABX10_LJ_before
ABX10_d-2_LJ_M_a30	ABX10_LJ_before
ABX10_d-2_LJ_F_a31	ABX10_LJ_before
ABX10_d-2_LJ_F_a32	ABX10_LJ_before
ABX10_d-2_LJ_F_a33	ABX10_LJ_before
ABX10_d-2_LJ_F_a34	ABX10_LJ_before
ABX10_d-2_LJ_F_a35	ABX10_LJ_before
ABX10_d-2_LJ_F_a36	ABX10_LJ_before
ABX10_d-2_LJ_F_a37	ABX10_LJ_before
ABX10_d-2_LJ_F_a38	ABX10_LJ_before
ABX10_d-2_LJ_F_a39	ABX10_LJ_before
ABX10_d-2_LJ_F_a40	ABX10_LJ_before
ABX10_d1_GR_M_a21	ABX10_GR_before
ABX10_d1_GR_M_a22	ABX10_GR_before
ABX10_d1_GR_M_a23	ABX10_GR_before
ABX10_d1_GR_M_a24	ABX10_GR_before
ABX10_d1_GR_M_a25	ABX10_GR_before
ABX10_d1_GR_M_a26	ABX10_GR_before
ABX10_d1_GR_M_a27	ABX10_GR_before
ABX10_d1_GR_M_a28	ABX10_GR_before
ABX10_d1_GR_M_a29	ABX10_GR_before
ABX10_d1_GR_M_a30	ABX10_GR_before
ABX10_d1_GR_F_a31	ABX10_GR_before
ABX10_d1_GR_F_a32	ABX10_GR_before
ABX10_d1_GR_F_a33	ABX10_GR_before
ABX10_d1_GR_F_a34	ABX10_GR_before
ABX10_d1_GR_F_a35	ABX10_GR_before
ABX10_d1_GR_F_a36	ABX10_GR_before
ABX10_d1_GR_F_a37	ABX10_GR_before
ABX10_d1_GR_F_a38	ABX10_GR_before
ABX10_d1_GR_F_a39	ABX10_GR_before
ABX10_d1_GR_F_a40	ABX10_GR_before
ABX10_d1_LJ_M_a21	ABX10_LJ_before
ABX10_d1_LJ_M_a22	ABX10_LJ_before
ABX10_d1_LJ_M_a23	ABX10_LJ_before
ABX10_d1_LJ_M_a24	ABX10_LJ_before
ABX10_d1_LJ_M_a25	ABX10_LJ_before
ABX10_d1_LJ_M_a26	ABX10_LJ_before
ABX10_d1_LJ_M_a27	ABX10_LJ_before
ABX10_d1_LJ_M_a28	ABX10_LJ_before
ABX10_d1_LJ_M_a29	ABX10_LJ_before
ABX10_d1_LJ_M_a30	ABX10_LJ_before
ABX10_d1_LJ_F_a31	ABX10_LJ_before
ABX10_d1_LJ_F_a32	ABX10_LJ_before
ABX10_d1_LJ_F_a33	ABX10_LJ_before
ABX10_d1_LJ_F_a34	ABX10_LJ_before
ABX10_d1_LJ_F_a35	ABX10_LJ_before
ABX10_d1_LJ_F_a36	ABX10_LJ_before
ABX10_d1_LJ_F_a37	ABX10_LJ_before
ABX10_d1_LJ_F_a38	ABX10_LJ_before
ABX10_d1_LJ_F_a39	ABX10_LJ_before
ABX10_d1_LJ_F_a40	ABX10_LJ_before
ABX10_d3_GR_M_a21	ABX10_GR_during
ABX10_d3_GR_M_a22	ABX10_GR_during
ABX10_d3_GR_M_a23	ABX10_GR_during
ABX10_d3_GR_M_a24	ABX10_GR_during
ABX10_d3_GR_M_a25	ABX10_GR_during
ABX10_d3_GR_M_a26	ABX10_GR_during
ABX10_d3_GR_M_a27	ABX10_GR_during
ABX10_d3_GR_M_a28	ABX10_GR_during
ABX10_d3_GR_M_a29	ABX10_GR_during
ABX10_d3_GR_M_a30	ABX10_GR_during
ABX10_d3_GR_F_a31	ABX10_GR_during
ABX10_d3_GR_F_a32	ABX10_GR_during
ABX10_d3_GR_F_a33	ABX10_GR_during
ABX10_d3_GR_F_a34	ABX10_GR_during
ABX10_d3_GR_F_a35	ABX10_GR_during
ABX10_d3_GR_F_a36	ABX10_GR_during
ABX10_d3_GR_F_a37	ABX10_GR_during
ABX10_d3_GR_F_a38	ABX10_GR_during
ABX10_d3_GR_F_a39	ABX10_GR_during
ABX10_d3_GR_F_a40	ABX10_GR_during
ABX10_d3_LJ_M_a21	ABX10_LJ_during
ABX10_d3_LJ_M_a22	ABX10_LJ_during
ABX10_d3_LJ_M_a23	ABX10_LJ_during
ABX10_d3_LJ_M_a24	ABX10_LJ_during
ABX10_d3_LJ_M_a25	ABX10_LJ_during
ABX10_d3_LJ_M_a26	ABX10_LJ_during
ABX10_d3_LJ_M_a27	ABX10_LJ_during
ABX10_d3_LJ_M_a28	ABX10_LJ_during
ABX10_d3_LJ_M_a29	ABX10_LJ_during
ABX10_d3_LJ_M_a30	ABX10_LJ_during
ABX10_d3_LJ_F_a31	ABX10_LJ_during
ABX10_d3_LJ_F_a32	ABX10_LJ_during
ABX10_d3_LJ_F_a33	ABX10_LJ_during
ABX10_d3_LJ_F_a34	ABX10_LJ_during
ABX10_d3_LJ_F_a35	ABX10_LJ_during
ABX10_d3_LJ_F_a36	ABX10_LJ_during
ABX10_d3_LJ_F_a37	ABX10_LJ_during
ABX10_d3_LJ_F_a38	ABX10_LJ_during
ABX10_d3_LJ_F_a39	ABX10_LJ_during
ABX10_d3_LJ_F_a40	ABX10_LJ_during
ABX10_d5_GR_M_a21	ABX10_GR_during
ABX10_d5_GR_M_a22	ABX10_GR_during
ABX10_d5_GR_M_a23	ABX10_GR_during
ABX10_d5_GR_M_a24	ABX10_GR_during
ABX10_d5_GR_M_a25	ABX10_GR_during
ABX10_d5_GR_M_a26	ABX10_GR_during
ABX10_d5_GR_M_a27	ABX10_GR_during
ABX10_d5_GR_M_a28	ABX10_GR_during
ABX10_d5_GR_M_a29	ABX10_GR_during
ABX10_d5_GR_M_a30	ABX10_GR_during
ABX10_d5_GR_F_a31	ABX10_GR_during
ABX10_d5_GR_F_a32	ABX10_GR_during
ABX10_d5_GR_F_a33	ABX10_GR_during
ABX10_d5_GR_F_a34	ABX10_GR_during
ABX10_d5_GR_F_a35	ABX10_GR_during
ABX10_d5_GR_F_a36	ABX10_GR_during
ABX10_d5_GR_F_a37	ABX10_GR_during
ABX10_d5_GR_F_a38	ABX10_GR_during
ABX10_d5_GR_F_a39	ABX10_GR_during
ABX10_d5_GR_F_a40	ABX10_GR_during
ABX10_d5_LJ_M_a21	ABX10_LJ_during
ABX10_d5_LJ_M_a22	ABX10_LJ_during
ABX10_d5_LJ_M_a23	ABX10_LJ_during
ABX10_d5_LJ_M_a24	ABX10_LJ_during
ABX10_d5_LJ_M_a25	ABX10_LJ_during
ABX10_d5_LJ_M_a26	ABX10_LJ_during
ABX10_d5_LJ_M_a27	ABX10_LJ_during
ABX10_d5_LJ_M_a28	ABX10_LJ_during
ABX10_d5_LJ_M_a29	ABX10_LJ_during
ABX10_d5_LJ_M_a30	ABX10_LJ_during
ABX10_d5_LJ_F_a31	ABX10_LJ_during
ABX10_d5_LJ_F_a32	ABX10_LJ_during
ABX10_d5_LJ_F_a33	ABX10_LJ_during
ABX10_d5_LJ_F_a34	ABX10_LJ_during
ABX10_d5_LJ_F_a35	ABX10_LJ_during
ABX10_d5_LJ_F_a36	ABX10_LJ_during
ABX10_d5_LJ_F_a37	ABX10_LJ_during
ABX10_d5_LJ_F_a38	ABX10_LJ_during
ABX10_d5_LJ_F_a39	ABX10_LJ_during
ABX10_d5_LJ_F_a40	ABX10_LJ_during
ABX10_d8_GR_M_a21	ABX10_GR_during
ABX10_d8_GR_M_a22	ABX10_GR_during
ABX10_d8_GR_M_a23	ABX10_GR_during
ABX10_d8_GR_M_a24	ABX10_GR_during
ABX10_d8_GR_M_a25	ABX10_GR_during
ABX10_d8_GR_M_a26	ABX10_GR_during
ABX10_d8_GR_M_a27	ABX10_GR_during
ABX10_d8_GR_M_a28	ABX10_GR_during
ABX10_d8_GR_M_a29	ABX10_GR_during
ABX10_d8_GR_M_a30	ABX10_GR_during
ABX10_d8_GR_F_a31	ABX10_GR_during
ABX10_d8_GR_F_a32	ABX10_GR_during
ABX10_d8_GR_F_a33	ABX10_GR_during
ABX10_d8_GR_F_a34	ABX10_GR_during
ABX10_d8_GR_F_a35	ABX10_GR_during
ABX10_d8_GR_F_a36	ABX10_GR_during
ABX10_d8_GR_F_a37	ABX10_GR_during
ABX10_d8_GR_F_a38	ABX10_GR_during
ABX10_d8_GR_F_a39	ABX10_GR_during
ABX10_d8_GR_F_a40	ABX10_GR_during
ABX10_d8_LJ_M_a21	ABX10_LJ_during
ABX10_d8_LJ_M_a22	ABX10_LJ_during
ABX10_d8_LJ_M_a23	ABX10_LJ_during
ABX10_d8_LJ_M_a24	ABX10_LJ_during
ABX10_d8_LJ_M_a25	ABX10_LJ_during
ABX10_d8_LJ_M_a26	ABX10_LJ_during
ABX10_d8_LJ_M_a27	ABX10_LJ_during
ABX10_d8_LJ_M_a28	ABX10_LJ_during
ABX10_d8_LJ_M_a29	ABX10_LJ_during
ABX10_d8_LJ_M_a30	ABX10_LJ_during
ABX10_d8_LJ_F_a31	ABX10_LJ_during
ABX10_d8_LJ_F_a32	ABX10_LJ_during
ABX10_d8_LJ_F_a33	ABX10_LJ_during
ABX10_d8_LJ_F_a34	ABX10_LJ_during
ABX10_d8_LJ_F_a35	ABX10_LJ_during
ABX10_d8_LJ_F_a36	ABX10_LJ_during
ABX10_d8_LJ_F_a37	ABX10_LJ_during
ABX10_d8_LJ_F_a38	ABX10_LJ_during
ABX10_d8_LJ_F_a39	ABX10_LJ_during
ABX10_d8_LJ_F_a40	ABX10_LJ_during
ABX10_d10_GR_M_a21	ABX10_GR_during
ABX10_d10_GR_M_a22	ABX10_GR_during
ABX10_d10_GR_M_a23	ABX10_GR_during
ABX10_d10_GR_M_a24	ABX10_GR_during
ABX10_d10_GR_M_a25	ABX10_GR_during
ABX10_d10_GR_M_a26	ABX10_GR_during
ABX10_d10_GR_M_a27	ABX10_GR_during
ABX10_d10_GR_M_a28	ABX10_GR_during
ABX10_d10_GR_M_a29	ABX10_GR_during
ABX10_d10_GR_M_a30	ABX10_GR_during
ABX10_d10_GR_F_a31	ABX10_GR_during
ABX10_d10_GR_F_a32	ABX10_GR_during
ABX10_d10_GR_F_a33	ABX10_GR_during
ABX10_d10_GR_F_a34	ABX10_GR_during
ABX10_d10_GR_F_a35	ABX10_GR_during
ABX10_d10_GR_F_a36	ABX10_GR_during
ABX10_d10_GR_F_a37	ABX10_GR_during
ABX10_d10_GR_F_a38	ABX10_GR_during
ABX10_d10_GR_F_a39	ABX10_GR_during
ABX10_d10_GR_F_a40	ABX10_GR_during
ABX10_d10_LJ_M_a21	ABX10_LJ_during
ABX10_d10_LJ_M_a22	ABX10_LJ_during
ABX10_d10_LJ_M_a23	ABX10_LJ_during
ABX10_d10_LJ_M_a24	ABX10_LJ_during
ABX10_d10_LJ_M_a25	ABX10_LJ_during
ABX10_d10_LJ_M_a26	ABX10_LJ_during
ABX10_d10_LJ_M_a27	ABX10_LJ_during
ABX10_d10_LJ_M_a28	ABX10_LJ_during
ABX10_d10_LJ_M_a29	ABX10_LJ_during
ABX10_d10_LJ_M_a30	ABX10_LJ_during
ABX10_d10_LJ_F_a31	ABX10_LJ_during
ABX10_d10_LJ_F_a32	ABX10_LJ_during
ABX10_d10_LJ_F_a33	ABX10_LJ_during
ABX10_d10_LJ_F_a34	ABX10_LJ_during
ABX10_d10_LJ_F_a35	ABX10_LJ_during
ABX10_d10_LJ_F_a36	ABX10_LJ_during
ABX10_d10_LJ_F_a37	ABX10_LJ_during
ABX10_d10_LJ_F_a38	ABX10_LJ_during
ABX10_d10_LJ_F_a39	ABX10_LJ_during
ABX10_d10_LJ_F_a40	ABX10_LJ_during
